;orig_food_id;id_food_table;food_group;food_subgroup;nombre_primario;nombre_secundario;G_energy;G_protein;G_fiber, total dietary;G_carbohydrate;G_carbohydrate, by difference;G_fatty acids, total monounsaturated;G_fatty acids, total polyunsaturated;G_fatty acids, total saturated;G_sugars, total;G_total lipid (fat);G_ash;M_calcium;M_iron;M_magnesium;M_manganese;M_phosphorus;M_potassium;M_selenium;M_sodium;M_zinc;M_copper;V_vit b1;V_vit b2;V_vit b5;V_vit b6;V_vit b9;V_vit c;V_vit k;AE_alanine;AE_arginine;AE_aspartic acid;AE_cystine;AE_glutamine;AE_glycine;AE_proline;AE_serine;AE_tyrosine;ANE_histidine;ANE_isoleucine;ANE_leucine;ANE_lysine;ANE_methionine;ANE_phenylalanine;ANE_threonine;ANE_tryptophan;ANE_valine;OT_choline;Cluster
64;11955;171;vegetables;fruit vegetables;garden tomato;tomatoes, sun-dried;258.0;14110.0;12300.0;0.0;55760.0;487.0;1115.0;426.0;37590.0;2970.0;12600.0;110.0;9.09;194.0;1.846;356.0;3427.0;0.0055;247.0;1.99;1.423;0.528;0.489;2.087;0.332;0.068;39.2;0.043;402.0;343.0;1957.0;183.0;5202.0;348.0;266.0;375.0;242.0;214.0;339.0;517.0;519.0;122.0;366.0;357.0;104.0;361.0;104.6;4
65;11284;5;vegetables;onion-family vegetables;allium;onions, dehydrated flakes;349.0;8950.0;9200.0;0.0;83280.0;64.0;180.0;78.0;37410.0;460.0;3380.0;257.0;1.55;92.0;1.389;303.0;1622.0;0.005;21.0;1.89;0.416;0.5;0.1;1.38;1.6;0.166;75.0;0.0038;249.0;1203.0;490.0;160.0;1445.0;372.0;279.0;263.0;222.0;146.0;316.0;314.0;428.0;74.0;229.0;216.0;129.0;206.0;53.9;4
66;19166;707;cocoa and cocoa products;cocoa products;cocoa powder;cocoa, dry powder, unsweetened, processed with alkali;220.363289;18100.0;29800.0;0.0;58300.0;4390.0;420.0;7760.0;1760.0;13100.0;7800.0;111.0;15.52;476.0;3.737;728.0;2509.0;0.0132;19.0;6.37;3.607;0.11;0.46;0.254;0.118;0.032;0.0;0.0024;834.0;1025.0;1802.0;221.0;2720.0;812.0;773.0;781.0;678.0;312.0;701.0;1097.0;907.0;187.0;869.0;716.0;271.0;1086.0;11.4;2
67;116;175;vegetables;tubers;potato;potato flour;347.51434;200.0;300.0;85000.0;0.0;0.0;0.0;19.0;0.0;0.0;200.0;25.0;0.38;6.0;0.1;7.2;34.0;0.0004;3.5;0.16;0.076;0.005;0.003;0.0;0.01;0.082;0.0;0.0;7.0;8.0;42.0;2.0;27.0;6.0;7.0;7.0;4.0;4.0;7.0;11.0;12.0;3.0;8.0;7.0;3.0;12.0;0.0;7
68;11548;171;vegetables;fruit vegetables;garden tomato;tomato powder;302.0;12910.0;16500.0;0.0;74680.0;66.0;179.0;62.0;43900.0;440.0;8910.0;166.0;4.56;178.0;1.951;295.0;1927.0;0.0053;134.0;1.71;1.241;0.913;0.761;3.76;0.457;0.12;116.7;0.0488;405.0;258.0;1617.0;76.0;5163.0;213.0;283.0;308.0;173.0;204.0;250.0;359.0;370.0;66.0;273.0;295.0;89.0;264.0;0.0;4
69;20422;205;cereals and cereal products;cereals;corn;cornmeal, degermed, unenriched, yellow;370.0;7110.0;3900.0;0.0;79450.0;299.0;634.0;169.0;1610.0;1750.0;510.0;3.0;1.1;32.0;0.174;99.0;142.0;0.0105;7.0;0.66;0.076;0.14;0.05;0.24;0.182;0.03;0.0;0.0;560.0;239.0;465.0;159.0;1455.0;217.0;746.0;341.0;187.0;172.0;242.0;1006.0;105.0;162.0;366.0;172.0;38.0;337.0;8.6;1
70;12084;320;nuts;nuts;butternut;nuts, butternuts, dried;612.09369;24900.0;4700.0;0.0;12050.0;10425.0;42741.0;1306.0;0.0;56980.0;2730.0;53.0;4.02;237.0;6.56;446.0;421.0;0.0172;1.0;3.13;0.45;0.383;0.148;0.633;0.56;0.066;3.2;0.0;1372.0;4862.0;3096.0;484.0;6084.0;1508.0;1236.0;1640.0;977.0;808.0;1179.0;2199.0;770.0;611.0;1442.0;940.0;366.0;1541.0;0.0;5
71;651;44;nuts;nuts;pecan nut;pecans, dried;709.847036;9200.0;9600.0;4300.0;0.0;0.0;0.0;6390.0;0.0;0.0;1500.0;70.0;2.53;121.0;4.5;277.0;410.0;0.0;0.0;4.53;1.2;0.66;0.13;0.863;0.21;0.022;1.1;0.0;400.0;1200.0;930.0;150.0;1900.0;450.0;360.0;470.0;210.0;260.0;330.0;350.0;290.0;190.0;430.0;310.0;93.0;420.0;0.0;0
72;12023;170;herbs and spices;oilseed crops;sesame;seeds, sesame seeds, whole, dried;573.0;17730.0;11800.0;0.0;23450.0;18759.0;21773.0;6957.0;300.0;49670.0;4450.0;975.0;14.55;351.0;2.46;629.0;468.0;0.0344;11.0;7.75;4.082;0.791;0.247;0.05;0.79;0.097;0.0;0.0;927.0;2630.0;1646.0;358.0;3955.0;1215.0;810.0;967.0;743.0;522.0;763.0;1358.0;569.0;586.0;940.0;736.0;388.0;990.0;25.6;3
73;20080;575;cereals and cereal products;cereals;wheat;wheat flour, whole-grain;340.344168;13210.0;10700.0;0.0;71970.0;283.0;1167.0;430.0;410.0;2500.0;1580.0;34.0;3.6;137.0;4.067;357.0;363.0;0.0618;2.0;2.6;0.41;0.502;0.165;0.603;0.407;0.044;0.0;0.0019;489.0;648.0;722.0;275.0;4328.0;569.0;2075.0;620.0;275.0;357.0;443.0;898.0;359.0;228.0;682.0;367.0;174.0;564.0;31.2;1
74;531;575;cereals and cereal products;cereals;wheat;wheat flour;352.772467;9700.0;6000.0;69700.0;0.0;0.0;0.0;184.0;500.0;0.0;700.0;17.4;1.18;25.0;0.51;117.0;155.0;0.002;1.85;0.758;0.133;0.189;0.031;0.5;0.084;0.018;0.0;0.0;320.0;370.0;420.0;170.0;3300.0;350.0;1100.0;510.0;220.0;220.0;410.0;730.0;240.0;150.0;510.0;270.0;110.0;470.0;0.0;7
75;8160;205;cereals and cereal products;cereals;corn;cereals, corn grits, yellow, regular and quick, unenriched, dry;371.0;8800.0;1600.0;0.0;79600.0;300.0;516.0;155.0;640.0;1200.0;400.0;2.0;1.0;27.0;0.106;73.0;137.0;0.017;1.0;0.41;0.075;0.13;0.04;0.485;0.147;0.005;0.0;0.0003;656.0;437.0;610.0;158.0;1647.0;360.0;765.0;417.0;357.0;268.0;314.0;1076.0;247.0;184.0;431.0;330.0;62.0;444.0;0.0;1
76;12099;368;nuts;nuts;european chestnut;nuts, chestnuts, european, dried, unpeeled;374.043977;6390.0;11700.0;0.0;77310.0;1535.0;1758.0;837.0;0.0;4450.0;2400.0;67.0;2.38;74.0;1.3;175.0;986.0;0.0018;37.0;0.35;0.65;0.295;0.36;0.897;0.663;0.109;15.0;0.0;427.0;457.0;1103.0;202.0;824.0;329.0;336.0;319.0;177.0;177.0;252.0;378.0;378.0;151.0;270.0;228.0;71.0;357.0;0.0;1
77;12154;93;nuts;nuts;black walnut;walnuts;618.0;24060.0;6800.0;0.0;9910.0;15004.0;35077.0;3368.0;1100.0;59000.0;2470.0;61.0;3.12;201.0;3.896;513.0;523.0;0.017;2.0;3.37;1.36;0.057;0.13;1.66;0.583;0.031;1.7;0.0027;1048.0;3618.0;2433.0;462.0;5152.0;1189.0;926.0;1225.0;740.0;672.0;966.0;1684.0;713.0;467.0;1094.0;721.0;318.0;1271.0;32.1;5
78;12039;86;herbs and spices;oilseed crops;sunflower;seeds, sunflower seed kernels, toasted, without salt;619.024857;17210.0;11500.0;0.0;20590.0;10841.0;37507.0;5953.0;0.0;56800.0;4400.0;57.0;6.81;129.0;2.114;1158.0;491.0;0.0;3.0;5.3;1.834;0.325;0.285;7.056;0.805;0.238;1.4;0.0;844.0;1816.0;1848.0;341.0;4216.0;1104.0;893.0;812.0;503.0;477.0;861.0;1254.0;708.0;374.0;883.0;702.0;263.0;994.0;0.0;5
79;19165;707;cocoa and cocoa products;cocoa products;cocoa powder;cocoa, dry powder, unsweetened;227.533461;19600.0;33200.0;0.0;57900.0;4570.0;440.0;8070.0;1750.0;13700.0;5800.0;128.0;13.86;499.0;3.837;734.0;1524.0;0.0143;21.0;6.81;3.788;0.078;0.241;0.254;0.118;0.032;0.0;0.0025;904.0;1111.0;1953.0;239.0;2948.0;879.0;838.0;846.0;735.0;339.0;760.0;1189.0;983.0;202.0;941.0;776.0;293.0;1177.0;12.0;2
